"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Asia","Malaysia","Subang Jaya","BRT Sunway Line","www.myrapid.com.my","","www.youtube.com","www.myrapid.com.my","www.myrapid.com.my","www.myrapid.com.my","","www.thestar.com.my","","www.chatpropertymalaysia.com","www.youtube.com","Calculated using system length and stations","www.themalaysianinsider.com","www.chatpropertymalaysia.com"
"Asia","Pakistan","Islamabad - Rawalpindi","Rawalpindi - Islmabad","www.metrobus.com.pk","www.worldbrt.net","www.metrobus.com.pk","www.metrobus.com.pk","www.metrobus.com.pk","www.metrobus.com.pk","","www.worldbrt.net","www.worldbrt.net","www.worldbrt.net","www.metrori.pk","Calculated using corridor length and stations","","www.pakistantimes.com"
"Asia","Pakistan","Lahore","","www.pakistantimes.com","en.wikipedia.org","Lahore Metrobus System","www.pma.punjab.gov.pk","","www.pma.punjab.gov.pk","www.pma.punjab.gov.pk","www.pma.punjab.gov.pk","en.wikipedia.org","","www.pma.punjab.gov.pk","Calculated using system length and stations","www.thenews.com.pk","Lahore Metrobus System"
"Asia","Republic of Korea","Seoul","","www.chinabrt.org buses and ridership estimated","www.chinabrt.org buses and ridership estimated","","","","","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","","Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org","","www.itdp.org","","","Bus Rapid Transit Planning Guide (ITDP) 2007"
"Asia","Taiwan","Chiayi","Chiayi BRT","e-bus.chiayi.gov.tw","Transportation and tourism department","Google Maps","","","","","","","","Google maps","Calculated using corridor length and stations","","e-bus.chiayi.gov.tw"
"Asia","Taiwan","Taichung","Blue Line","www.chinapost.com.tw","BRT Experiences : Taiwan atwww.asiabrts.org","easts.info","","","","","","","","easts.info","easts.info","","www.chinapost.com.tw"
"Asia","Taiwan","Taipei","","Bus Rapid Transit Planning Guide (ITDP) 2007","Bus Rapid Transit Planning Guide (ITDP) 2007","","","","","Bus Rapid Transit Planning Guide (ITDP) 2007","","Bus Rapid Transit Planning Guide (ITDP) 2007","","","Bus Rapid Transit Planning Guide (ITDP) 2007","Bus Rapid Transit Planning Guide (ITDP) 2007","Bus Rapid Transit Planning Guide (ITDP) 2007"
"Asia","Thailand","Bangkok","Bangkok BRT","www.chinabrt.org","www.chinabrt.org","","","","","Viva 2010 ( www.uncrd.or.jp );www.bangkokpost.comwww.chinabrt.org","Viva 2010 ( www.uncrd.or.jp );www.bangkokpost.com www.chinabrt.org","www.chinabrt.org","","","","","www.chinabrt.org"
"Europe","Belgium","Liège","Cadran - Fontainebleau","Google Maps","","Google Maps","","","Google Maps","","","","","www.infotec.be","Calculated using corridor length and stations","",""
"Europe","Belgium","Liège","d’Avroy - Sauvenière","Google Maps","","Google Maps","","","Google Maps","","","","","www.infotec.be","Calculated using corridor length and stations","",""
"Europe","Belgium","Liège","Quai Saint-Léonard","Google Maps","","Google Maps","","","Google Maps","","","","","www.infotec.be","Calculated using corridor length and stations","",""
"Europe","Czech Republic","Prague","Line 213","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","","","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","","","COST - European Cooperation in Science and Technology","",""
"Europe","Finland","Helsinki","Runkolinja 550","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","","","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","","www.hsl.fi","COST - European Cooperation in Science and Technology","","COST - European Cooperation in Science and Technology, 2006 change the brand"
"Europe","France","Belfort","Optymo BHNS","www.nbrti.org","info.optymo.fr","Google Maps","info.optymo.fr","info.optymo.fr","info.optymo.fr","info.optymo.fr","info.optymo.fr","","","info.optymo.fr","Calculated using corridor length and stations","","info.optymo.fr"
"Europe","France","Caen","Twisto TVR","www.nbrti.org","www.nbrti.org","","","","","ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010","ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010","","","","","ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010","www.nbrti.org"
"Europe","France","Cannes","Ligne 1","Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl","","www.silteplait.info","","","","","www.silteplait.info","","","www.cannes.com","Calculated using corridor length and stations","www.silteplait.info","www.silteplait.info"
"Europe","France","Châlon-sur-Saône","Flash","www.mobilicites.com","www.info-chalon.com","Google Maps","Google Maps","Google Maps","Google Maps","www.mobilicites.com","www.mobilicites.com","","","transvosges.wordpress.com","Calculated using corridor length and stations","www.ville-rail-transports.com","www.ville-rail-transports.com"
"Europe","France","Douai","","Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl","Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl","","","","","Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl","","","","","","Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ;lw2.easy-site.nl","Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl"
"Europe","France","Evry","Tice","www.bus-tice.com","","Google Mpas","Google Maps","Google Maps","www.bus-tice.com","www.bus-tice.com","","","","essonneinfo.fr","Calculated using corridor length and stations","","snotice.fr"
"Europe","France","La Rochelle","","www.ville-larochelle.fr","www.ville-larochelle.fr","","","","","","","","","","","","www.ville-larochelle.fr"
"Europe","France","Lille","","www.nbrti.org bhns.fr","","","","","","","","","","","","","www.nbrti.org bhns.fr"
"Europe","France","Lorient","The Triskell","COST - European Cooperation in Science and Technology .","COST - European Cooperation in Science and Technology .","COST - European Cooperation in Science and Technology .","","","","COST - European Cooperation in Science and Technology .","COST - European Cooperation in Science and Technology .","","","","COST - European Cooperation in Science and Technology .","","COST - European Cooperation in Science and Technology ."
"Europe","France","Lyon","C-Lines","www.nbrti.org","www.nbrti.org","","","","","ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010","","","","","","","www.nbrti.org"
"Europe","France","Maubeuge","BHLS - Viavil","www.nbrti.org","www.nbrti.org","","","","","","","","","","","","www.nbrti.org"
"Europe","France","Metz","Ligne A","www.nbrti.org","","Mettis","mettis.metzmetropole.fr","mettis.metzmetropole.fr","mettis.metzmetropole.fr","Mettis","Mettis","","mettis.metzmetropole.fr","Mettis","Calculated using corridor length and stations","","mettis.metzmetropole.fr"
"Europe","France","Metz","Ligne B","mettis.metzmetropole.fr","","Mettis","mettis.metzmetropole.fr","mettis.metzmetropole.fr","mettis.metzmetropole.fr","Mettis","Mettis","","mettis.metzmetropole.fr","Mettis","Calculated using corridor length and stations","","mettis.metzmetropole.fr"
"Europe","France","Nancy","TVR (GLT)","www.nbrti.org","www.nbrti.org","","","","","CERTU 2010","CERTU","","","","","CERTU 2010","www.nbrti.org"
"Europe","France","Nantes","BusWay","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","Calculated using corridor length and stations","ITDP (2007) Bus Rapid Transit Planning Guide ; Rambaud 2006 ; CERTU 2010 ; www.chinabrt.org","COST - European Cooperation in Science and Technology"
"Europe","France","Nice","","","bhns.fr","","","","","","","","","","","","bhns.fr"
