"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Latin America","Panama","Panama",NA,NA,2014,"","","","","","","","2015",2015,"Cacalculating on GIS software","",""
"Latin America","Peru","Lima",NA,NA,2014,"2004","2004","2013","","","2007","","2015",NA,"","",""
"Latin America","Trinidad and Tobago","Port of Spain - Arima",NA,NA,2014,"","","","","","2010","2000, population of Port of Spain, San Juan-Laventille, Tanapuna-Piarco and Arima","2015",NA,"2014","",""
"Latin America","Uruguay","Montevideo",NA,2013,2014,"2009","2009","","2013","","2010","2011","2015",NA,"","",""
"Latin America","Venezuela","Barquisimeto",NA,2014,2012,"","","2015","","","2011","2011","2015",NA,"2015","",""
"Latin America","Venezuela","Caracas",NA,2013,2012,"2009","2009","","","","2011","2011","2015",NA,"","",""
"Latin America","Venezuela","Merida",NA,2013,2012,"","","","","","2011","2011","2015",NA,"","",""
"Northern America","Canada","Brampton",2015,2015,2014,"2009","2009","","2015","2015","2011","2011","2015",2015,"2015","2015",""
"Northern America","Canada","Gatineau",NA,NA,2014,"2011","2011","","2014","2013","2011","2011","2015",2013,"2013","",""
"Northern America","Canada","Halifax",NA,2008,2014,"","","","","","2011","2011","2015",NA,"2008","",""
"Northern America","Canada","Ottawa",NA,2013,2014,"2006","2006","2007","2013","2013","2011","2014","2015",NA,"2015","",""
"Northern America","Canada","Vancouver",NA,NA,2014,"","","","","","2006","2006","2015",NA,"","",""
"Northern America","Canada","Waterloo",NA,2013,2014,"2006","2006","","2015","","2011","2011","2015",2015,"2013","2015",""
"Northern America","Canada","Winnipeg",NA,2012,2014,"2006","2006","","2012","","2011","2011","2015",NA,"2012","",""
"Northern America","Canada","York Regional Municipality",NA,2008,2014,"","","","","","2011","2011","2015",NA,"2008","",""
"Northern America","United States","Albuquerque",NA,2012,2014,"2013","2013","2009","2015","","2015","2013","2015",2015,"2015","2015",""
"Northern America","United States","Alexandria - Arlington",NA,2015,NA,"2013, only Arlington",NA,"","2014","",NA,NA,NA,2014,"2016","2016",NA
"Northern America","United States","Boston",NA,2014,2014,"2009","2009","2013","2014","","2010","2013","2015",2005,"2014","",""
"Northern America","United States","Chicago",NA,2013,2014,"2011","2011","2012","2013","","2012","2012","2015",2012,"2013","",""
"Northern America","United States","Cleveland",NA,2013,2014,"2004","2004","2013","2013","","2010","2010","2015",2013,"2013","",""
"Northern America","United States","Eugene",NA,2013,2014,"2009","2009","2007","2013","2007","2010","2010","2015",2013,"2013","",""
"Northern America","United States","Everett",NA,2011,2014,"2012, only modal split of Everett","2012, only modal split of Everett","","2013","","","2012, population of Everett, Lynnwood, Edmonds, Shoreline","2015",2013,"2013","",""
"Northern America","United States","Kansas City",NA,2013,2014,"2009","2009","2013","2012","","2012","2012","2015",2013,"2012","",""
"Northern America","United States","Las Vegas",NA,2013,2014,"2009","2009","2013","","","2013","2013","2015",2014,"2013","",""
"Northern America","United States","Los Angeles",NA,2013,2014,"2003","2003","2007","2007","","","2010","2015",NA,"","",""
"Northern America","United States","Miami",NA,2008,2014,"2009","2009","2007","","","2010","2012","2015",NA,"2008","",""
"Northern America","United States","New York",NA,NA,2014,"2009","2009","","2015","","2010","2013, estimated by US Census Bureau","2015",2015,"2014","2010",""
"Northern America","United States","Oakland",NA,2009,2014,"2009, the data refers to San Francisco Metropolitan Area","2009, the data refers to San Francisco Metropolitan Area","","2004","","2010","2012","",2004,"2009","",""
"Northern America","United States","Orlando",NA,2007,2014,"2009","2009","","2007","","2010","2012","2015",2007,"2007","",""
"Northern America","United States","Phoenix",NA,2009,2014,"2009","2009","","2004","","2010","2012","",2004,"2009","",""
"Northern America","United States","Pittsburgh",2007,2013,2014,"2009","2009","2013","2007","2007","2010","2012","",NA,"2007","",""
"Northern America","United States","San Bernardino",NA,NA,2014,"2009, the data refers to Los Angeles Metropolitan Area","2009, the data refers to Los Angeles Metropolitan Area","","2014","","2010","2012, population of San Bernardino and Loma Linda","2015",NA,"2014","",""
"Northern America","United States","San Diego",NA,NA,2014,"2008","2008","2000","","","2012","2012","2015",NA,"2012","",""
"Northern America","United States","Snohomish County",NA,2010,2014,"2009, the data refers to Seattle Metropolitan Area","2009, the data refers to Seattle Metropolitan Area","","","","","2010","",NA,"2010","",""
"Northern America","United States","Stockton",NA,2012,2014,"2006","2006","","2015","","2014","2014, estimated by US Census Bureau","2015",2015,"2012","2015",""
"Oceania","Australia","Adelaide",NA,2012,2014,"2011","2011","2013","2013","2012","2011","2010","2015",2013,"2013","",""
"Oceania","Australia","Brisbane",NA,2012,2014,"2011","2011","2013","2013","2012","2011","2010","2015, zone 2",2014,"2013","",""
"Oceania","Australia","Sydney - Blacktown - Rouse Hill",NA,NA,2014,"2011","2011","2013","2013","","2011","2010","2015",2013,"2013","",""
"Oceania","Australia","Sydney - Liverpool - Parramatta",NA,2010,2014,"2011","2011","2013","2013","2011","2011","2010","2015",2013,"2013","",""
"Oceania","Australia","Sydney - Parramatta - Rouse Hill",NA,NA,2014,"2011","2011","2013","2013","","2011","2011","2015",2013,"2013","",""
"Oceania","New Zealand","Auckland",NA,2012,2011,"2011","2011","2013","2013","2012","2012","2012","2015, stage 3 fare",2014,"2014","",""
