"Indicator","Category","Region","Country","City","Value","Year","Source","Timeliness","nas"
"User rating","system image","Latin America","Colombia","Bucaramanga",NA,NA,"",NA,1
"User rating","system image","Latin America","Colombia","Cali","Average",2014,"www.metrocali.gov.co",8,0
"User rating","system image","Latin America","Colombia","Cartagena",NA,NA,"",NA,1
"User rating","system image","Latin America","Colombia","Medellín","Good",2009,"Trolmerida",13,0
"User rating","system image","Latin America","Colombia","Pereira","Excellent",2010,"Encuesta satisfacción del usuario Megabús, 2010",12,0
"User rating","system image","Latin America","Ecuador","Guayaquil","Good",2011,"www.metrovia-gye.com , letter M)",11,0
"User rating","system image","Latin America","Ecuador","Quito",NA,NA,"",NA,1
"User rating","system image","Latin America","El Salvador","Gran San Salvador","Good",2015,"www.vmt.gob.sv",7,0
"User rating","system image","Latin America","Guatemala","Guatemala",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Acapulco",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Chihuahua",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Guadalajara","Good",NA,"www.ctsmexico.org",NA,0
"User rating","system image","Latin America","Mexico","Guadalupe",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Juárez","Good",2015,"www.planjuarez.org",7,0
"User rating","system image","Latin America","Mexico","León de los Aldama","Good",NA,"Protransporte Planing and Information System Office",NA,0
"User rating","system image","Latin America","Mexico","Mexico City",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Mexico City - Metropolitan Area",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Monterrey",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Pachuca",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Puebla",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Tijuana",NA,NA,"",NA,1
"User rating","system image","Latin America","Panama","Panama",NA,NA,"",NA,1
"User rating","system image","Latin America","Peru","Lima","Good",NA,"Protransporte Planing and Information System Office",NA,0
"User rating","system image","Latin America","Trinidad and Tobago","Port of Spain - Arima",NA,NA,"",NA,1
"User rating","system image","Latin America","Uruguay","Montevideo",NA,NA,"",NA,1
"User rating","system image","Latin America","Venezuela","Barquisimeto",NA,NA,"",NA,1
"User rating","system image","Latin America","Venezuela","Caracas","Good",2013,"www.minci.gob.ve",9,0
"User rating","system image","Latin America","Venezuela","Merida","Good",2009,"María Alejandra Guilarte Castro, Former president of Trolmerida",13,0
"User rating","system image","Oceania","Australia","Adelaide",NA,NA,"",NA,1
"User rating","system image","Oceania","Australia","Brisbane",NA,NA,"",NA,1
"User rating","system image","Oceania","Australia","Sydney - Metropolitan Area","Good",NA,"CDC e-mail",NA,0
"User rating","system image","Oceania","New Caledonia","Nouméa",NA,NA,"",NA,1
"User rating","system image","Oceania","New Zealand","Auckland",NA,NA,"",NA,1
"User rating","system image","Europe","Belgium","Liège",NA,NA,"",NA,1
"User rating","system image","Europe","Finland","Helsinki",NA,NA,"",NA,1
"User rating","system image","Europe","France","Belfort",NA,NA,"",NA,1
"User rating","system image","Europe","France","Caen",NA,NA,"",NA,1
"User rating","system image","Europe","France","Cannes",NA,NA,"",NA,1
"User rating","system image","Europe","France","Châlon-sur-Saône",NA,NA,"",NA,1
"User rating","system image","Europe","France","Douai",NA,NA,"",NA,1
"User rating","system image","Europe","France","Evry",NA,NA,"",NA,1
"User rating","system image","Europe","France","La Rochelle",NA,NA,"",NA,1
"User rating","system image","Europe","France","Le Mans",NA,NA,"",NA,1
"User rating","system image","Europe","France","Lille",NA,NA,"",NA,1
"User rating","system image","Europe","France","Lorient",NA,NA,"",NA,1
"User rating","system image","Europe","France","Lyon",NA,NA,"",NA,1
"User rating","system image","Europe","France","Maubeuge",NA,NA,"",NA,1
"User rating","system image","Europe","France","Metz",NA,NA,"",NA,1
"User rating","system image","Europe","France","Nancy",NA,NA,"",NA,1
"User rating","system image","Europe","France","Nantes",NA,NA,"",NA,1
"User rating","system image","Europe","France","Nîmes",NA,NA,"",NA,1
"User rating","system image","Europe","France","Paris",NA,NA,"",NA,1
"User rating","system image","Europe","France","Rouen",NA,NA,"",NA,1
"User rating","system image","Europe","France","Saint-Nazaire","Good",2013,"www.mobilicites.com",9,0
"User rating","system image","Europe","France","Strasbourg",NA,NA,"",NA,1
"User rating","system image","Europe","France","Toulouse",NA,NA,"",NA,1
"User rating","system image","Europe","Germany","Essen",NA,NA,"",NA,1
"User rating","system image","Europe","Germany","Oberhausen",NA,NA,"",NA,1
"User rating","system image","Europe","Netherlands","Almere",NA,NA,"",NA,1
"User rating","system image","Europe","Netherlands","Amsterdam",NA,NA,"",NA,1
"User rating","system image","Europe","Netherlands","Eindhoven",NA,NA,"",NA,1
"User rating","system image","Europe","Netherlands","Enschede",NA,NA,"",NA,1
"User rating","system image","Europe","Netherlands","Utrecht",NA,NA,"",NA,1
"User rating","system image","Europe","Spain","Castellón",NA,NA,"",NA,1
"User rating","system image","Europe","Spain","Granada",NA,NA,"",NA,1
"User rating","system image","Europe","Sweden","Gothenburg",NA,NA,"",NA,1
"User rating","system image","Europe","Sweden","Jonkoping",NA,NA,"",NA,1
"User rating","system image","Europe","Sweden","Stockholm",NA,NA,"",NA,1
"User rating","system image","Europe","Switzerland","Zurich",NA,NA,"",NA,1
"User rating","system image","Europe","Turkey","Istanbul","Good",2012,"İETT",10,0
"User rating","system image","Europe","United Kingdom","Cambridge","Good",2012,"www.cambridgeshire.gov.uk",10,0
"User rating","system image","Europe","United Kingdom","Fareham - Gosport",NA,NA,"",NA,1
"User rating","system image","Europe","United Kingdom","Greater Manchester",NA,NA,"",NA,1
"User rating","system image","Europe","United Kingdom","Kent",NA,NA,"",NA,1
"User rating","system image","Europe","United Kingdom","Luton",NA,NA,"",NA,1
"User rating","system image","Europe","United Kingdom","Runcorn",NA,NA,"",NA,1
