"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Europe","France","Rouen","T2",14.8,NA,"None",NA,NA,NA,"",30,NA,"N/A","None","493.3",NA,2001
"Europe","France","Rouen","T3",17.7,NA,"None",NA,NA,NA,"",30,NA,"N/A","None","590",NA,2001
"Europe","France","Saint-Nazaire","Hélyce",9,10000,"None",NA,NA,6,"18.4",9,NA,"N/A","All","474",8.1,2012
"Europe","France","Strasbourg","Ligne G",5.2,9000,"None",NA,NA,NA,"18",NA,NA,"N/A","All","472",7.61,2013
"Europe","France","Toulouse","",11,13300,"",NA,NA,NA,"25",8,NA,"","","",6.273,2008
"Europe","Germany","Essen","The Spurbus",24.2,17000,"Partial",4,0,0,"16.5",6,NA,"N/A","None","",NA,1980
"Europe","Germany","Hamburg","Line 5",15.1,60000,"None",0,0,4.08,"18.8",12,NA,"N/A","None","503.3",NA,2005
"Europe","Germany","Oberhausen","ÖPNV-Trasse",6.8,25000,"",6.8,0,0,"34",40,NA,"","","1133.3",NA,1996
"Europe","Ireland","Dublin","",8.4,34000,"",NA,NA,NA,"",NA,6400,"","","",NA,1997
"Europe","Italy","Brescia","LAM1",NA,NA,"",NA,NA,2.1,"15",12,NA,"","","270",NA,NA
"Europe","Italy","Brescia","LAM2",NA,12000,"",NA,NA,2.1,"16",9,NA,"","","188",NA,NA
"Europe","Italy","Prato","Arancio",8.97,NA,"None",1.15,1.36,0,"20.7",4,NA,"","None","332.2",NA,2014
"Europe","Italy","Prato","Blu",9.61,NA,"None",0,4.16,0,"18.9",9,NA,"","None","266.9",NA,2003
"Europe","Italy","Prato","Rossa",5.52,NA,"None",0,2.88,0,"18",6,NA,"","None","501.8",NA,2003
"Europe","Netherlands","Almere","Line 1",58,16000,"All",NA,NA,NA,"24.5",9,NA,"Yes","","600",NA,2004
"Europe","Netherlands","Amsterdam","Zuidtangent",56.7,40000,"Partial",0,0,37,"35",10,960,"N/A","None","1718.2",NA,2002
"Europe","Netherlands","Eindhoven","Phileas",15,12000,"",NA,NA,NA,"21",NA,NA,"","","",NA,2003
"Europe","Netherlands","Enschede","Line 2",11,1318,"None",NA,NA,NA,"20.5",NA,NA,"","None","600",NA,2000
"Europe","Netherlands","Enschede","Line3",12,1250,"None",12,NA,NA,"27",NA,NA,"","None","600",NA,2006
"Europe","Netherlands","Utrecht","",8.2,40000,"",NA,NA,NA,"",8,NA,"","","",NA,2001
"Europe","Portugal","Lisbon","24 de Julho Corridor (mixed traffic with 10 tramways)",4.8,27000,"",NA,NA,NA,"16",30,12000,"","","400",NA,1990
"Europe","Spain","Barcelona","Línia 64: Barceloneta - Pedralbes",21.8,15300,"None",0,0,17.44,"10",8,1220,"Yes","None","589",NA,2007
"Europe","Spain","Castellon","Line 1",2,3200,"All",NA,NA,NA,"18",12,NA,"","","509",NA,2009
"Europe","Spain","Granada","LAC",4.2,27667,"None",0,0,4.2,"",3,NA,"Yes","All","381.8",NA,2014
"Europe","Spain","Madrid","Bus VAO",16.1,112000,"Partial",NA,NA,3.9,"28.5",185,7500,"","None","860",NA,1995
"Europe","Sweden","Gothenburg","Stombuss",16.5,25000,"None",0,0,7.5,"21",20,NA,"Yes","None","687",1.67,2003
"Europe","Sweden","Jonkoping","Line1",13.4,NA,"",NA,NA,NA,"21",NA,NA,"","","440",NA,1996
"Europe","Sweden","Jonkoping","Line2",11.5,NA,"",NA,NA,NA,"23",NA,NA,"","","440",NA,1996
"Europe","Sweden","Jonkoping","Line3",14.3,NA,"",NA,NA,NA,"21",NA,NA,"","","440",NA,2001
"Europe","Sweden","Stockholm","",40,57000,"",NA,NA,NA,"16.5",15,NA,"","","",NA,1998
"Europe","Switzerland","Zurich","Line 31",11,14000,"None",0,0,2.8,"19",8,1300,"Yes","None","407",NA,2007
"Europe","Turkey","Istanbul","TUYAP - Sogutlucesme Metrobus Corridor",52,750000,"None",0,50,0,"35",156,30000,"No","All","1181.8",9.084,2007
"Europe","United Kingdom","Bradford","Manchester Road",2.74,5467,"None",2.35,0,0,"",22,NA,"","None","1370",19.3,2002
"Europe","United Kingdom","Cambridge","The Busway",40,12000,"Partial",25,0,0,"60",12,NA,"N/A","None","3125",NA,2011
"Europe","United Kingdom","Crawley","",24,6000,"",NA,NA,NA,"20",6,NA,"","","",2,2003
"Europe","United Kingdom","Edinburgh","",5,44000,"",NA,NA,NA,"",15,NA,"","","",16.1,2004
"Europe","United Kingdom","Fareham - Gosport","Eclipse",3.4,NA,"Partial",0,0,3.4,"",12,NA,"N/A","None","486",NA,2012
"Europe","United Kingdom","Kent","Fastrack",15,5726,"",NA,NA,NA,"",NA,NA,"","","",24.22,2006
"Europe","United Kingdom","Leeds","",4.2,31000,"",NA,NA,NA,"",NA,NA,"","","",NA,1995
"Europe","United Kingdom","London","",20,9000,"",NA,NA,NA,"",NA,NA,"","","",NA,2010
"Europe","United Kingdom","Luton","",5,30000,"",NA,NA,NA,"",NA,NA,"","","",NA,2006
"Europe","United Kingdom","Manchester","A6 Corridor",15.5,21000,"",NA,NA,5.27,"16",10,NA,"","None","310",NA,1996
"Europe","United Kingdom","Runcorn","",19.3,NA,"",NA,NA,NA,"31",6,NA,"","None","",NA,1971
"Europe","United Kingdom","Swansea","",13.5,5000,"",NA,NA,NA,"",NA,NA,"","","",NA,2009
"Europe","United Kingdom","York","FTR",5,5500,"",NA,NA,NA,"",NA,NA,"","","",NA,2006
"Latin America","Argentina","Buenos Aires","9 de Julio",3,250000,"None",0,3,0,"",NA,NA,"No","Partial","600",NA,2013
"Latin America","Argentina","Buenos Aires","Juan B. Justo",12.5,100000,"None",0,0,12.5,"24",30,3500,"No","Partial","590",NA,2011
"Latin America","Argentina","Buenos Aires","Sur - Ramal Coronel Roca",9.3,250000,"None",0,0,9.3,"",NA,NA,"No","Partial","664.3",NA,2013
