"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Asia","Japan","Nagoya","Calculated using annual demand and fare","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","data.worldbank.org","","","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","www.stat.go.jp","www.city.nagoya.jp","www.chinabrt.org","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org","","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org"
"Asia","Malaysia","Subang Jaya","","","data.worldbank.org","eps.mbpj.gov.my","eps.mbpj.gov.my","","www.thestar.com.my","","en.wikipedia.org","Department of Statistics Malaysia Census","www.myrapid.com.my","Calculated using system length and stations","www.myrapid.com.my","www.sunway.com.my","www.chatpropertymalaysia.com"
"Asia","Pakistan","Islamabad - Rawalpindi","Calculated using annual demand and fare","www.worldbrt.net","data.worldbank.org","","cdia.asia","","www.worldbrt.net","www.worldbrt.net","www.pbs.gov.pk & rawalpindi.gov.pk","www.cia.gov","www.dawn.com","Calculated using system length and stations","www.metrobus.com.pk","www.metrobus.com.pk","www.pakistantimes.com"
"Asia","Pakistan","Lahore","Calculated using annual demand and fare","en.wikipedia.org","data.worldbank.org","www.nctr.usf.edu","www.nctr.usf.edu","www.pma.punjab.gov.pk","www.pma.punjab.gov.pk","en.wikipedia.org","","UN Habitat","nation.com.pk","Calculated using system length and stations","www.pakistantimes.com","www.pakistantimes.com","thecityfix.com"
"Asia","Republic of Korea","Seoul","","www.chinabrt.org buses and ridership estimated","data.worldbank.org","","","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","www.index.go.kr","www.index.go.kr","","","www.chinabrt.org buses and ridership estimated","","Bus Rapid Transit Planning Guide (ITDP) 2007"
"Asia","Taiwan","Chiayi","","Transportation and tourism department","www.imf.org","","","","","","www.citypopulation.de","www.citypopulation.de","","Calculated using system length and stations","e-bus.chiayi.gov.tw","","e-bus.chiayi.gov.tw"
"Asia","Taiwan","Taichung","Calculated using annual demand and fare","BRT Experiences : Taiwan at www.asiabrts.org","www.imf.org","easts.info","easts.info","","","","www.citypopulation.de","www.citypopulation.de","easts.info","easts.info","www.chinapost.com.tw","","easts.info"
"Asia","Taiwan","Taipei","Bus Rapid Transit Planning Guide (ITDP) 2007","Bus Rapid Transit Planning Guide (ITDP) 2007","www.imf.org","ltaacademy.gov.sg","ltaacademy.gov.sg","Bus Rapid Transit Planning Guide (ITDP) 2007","","Bus Rapid Transit Planning Guide (ITDP) 2007","eng.stat.gov.tw","eng.stat.gov.tw","","Bus Rapid Transit Planning Guide (ITDP) 2007","Bus Rapid Transit Planning Guide (ITDP) 2007","","Bus Rapid Transit Planning Guide (ITDP) 2007"
"Asia","Thailand","Bangkok","Calculated using annual demand and fare","www.chinabrt.org","data.worldbank.org","www.ide.titech.ac.jp","www.ide.titech.ac.jp","Viva 2010 ( www.uncrd.or.jp ); www.bangkokpost.comwww.chinabrt.org","www.chinabrt.org","www.chinabrt.org","2010 Population and Housing Census, National Statistical Office, Ministry of Information and Communication Technology","2010 Population and Housing Census, National Statistical Office, Ministry of Information and Communication Technology","www.transitbangkok.com","Viva 2010 ( www.uncrd.or.jp ); www.bangkokpost.comwww.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Europe","Belgium","Liège","","","data.worldbank.org","www.epomm.eu","www.epomm.eu","","","","en.wikipedia.org","www.liege.be","www.infotec.be","Calculated using system length and stations","Google Maps",NA,"siteresources.worldbank.org"
