"city","country_BRTData","city_BRTData","continent","corridor","corridor_length","demand","separated_intersections","exclusive_lanes_length","segregated_counterflow_lanes_length","segregated_lanes_length","speed","peak_frequency","peak_load","integrated_feeders","offboard_payment","station_spacing","cost_per_km","year_corridor_commenced","country","population","pop_density","bus_split","car_split","bus_fare","gdp","year_system_commenced"
"Campo Grande","Brazil","Campo Grande","Latin America","Av. Calógeras",1.2,NA,"None",0,0,1.2,17.5,NA,NA,"No","Partial",NA,NA,1987,"Brazil",853622,97.2,39.6,43,0.78,11384,1987
"Cannes","France","Cannes","Europe","Ligne 1",34,NA,"None",0,0,NA,NA,12,NA,"","None",440,11.78,2013,"France",137757,3309.8,NA,NA,1.66,42733,2013
"Cape Town","South Africa","Cape Town","Africa","1A",17,20000,"",NA,NA,NA,NA,6,NA,"","All",485.7,NA,2011,"South Africa",3740026,1530,43.7,47,1.29,6483,2011
"Caracas","Venezuela","Caracas","Latin America","Línea 7",5.2,30000,"None",0,0,5.2,NA,NA,NA,"Yes","All",470,NA,2012,"Venezuela",1943901,4009,56.9,24.7,0.64,12772,2012
"Caxias do Sul","Brazil","Caxias do Sul","Latin America","Sinimbu",2.7,NA,"None",0,0,2.7,NA,NA,NA,"No","None",300,NA,NA,"Brazil",474853,201.3,46.3,44.1,0.78,11384,1990
"Caxias do Sul","Brazil","Caxias do Sul","Latin America","Bento",0.7,NA,"None",0,0,0.7,NA,NA,NA,"No","None",175,NA,NA,"Brazil",474853,201.3,46.3,44.1,0.78,11384,1990
"Caxias do Sul","Brazil","Caxias do Sul","Latin America","Pinheiro Machado",1.9,NA,"None",0,0,1.9,NA,NA,NA,"No","None",271.4,NA,NA,"Brazil",474853,201.3,46.3,44.1,0.78,11384,1990
"Caxias do Sul","Brazil","Caxias do Sul","Latin America","18 do Forte",1,NA,"None",0,0,1,NA,NA,NA,"No","None",333.3,NA,NA,"Brazil",474853,201.3,46.3,44.1,0.78,11384,1990
"Caxias do Sul","Brazil","Caxias do Sul","Latin America","Moreira Cesar - Centro Bairro",0.7,NA,"None",0,0,0.7,NA,NA,NA,"No","None",175,NA,NA,"Brazil",474853,201.3,46.3,44.1,0.78,11384,1990
"Caxias do Sul","Brazil","Caxias do Sul","Latin America","Marechal Floriano",0.7,NA,"None",0,0,0.7,NA,NA,NA,"No","None",233.3,NA,NA,"Brazil",474853,201.3,46.3,44.1,0.78,11384,1990
"Caxias do Sul","Brazil","Caxias do Sul","Latin America","Pio 12 - Moreira",1.9,NA,"None",0,0,1.9,NA,NA,NA,"No","None",316.7,NA,NA,"Brazil",474853,201.3,46.3,44.1,0.78,11384,1990
"Châlon-sur-Saône","France","Châlon-sur-Saône","Europe","Flash",6.4,5300,"None",0,0,4.5,19,6,NA,"","None",426,2.34,2012,"France",44985,127,NA,NA,1.33,42733,2012
"Changde","China","Changde","Asia","Line 1",18.9,NA,"",0,0,18.9,31,27,800,"","Partial",780,NA,2012,"China",1401000,558.2,NA,NA,0.16,7590,2012
"Changzhou","China","Changzhou","Asia","Line 2",20.3,NA,"",0,0,19.3,NA,NA,NA,"","All",810,NA,2009,"China",2305000,1237.8,NA,NA,0.16,7590,2008
"Changzhou","China","Changzhou","Asia","Line 1",29.6,NA,"",0,0,26.7,NA,NA,NA,"","All",925,NA,2008,"China",2305000,1237.8,NA,NA,0.16,7590,2008
"Chengdu","China","Chengdu","Asia","2nd Ring Elevated Road",28.8,NA,"None",28.8,0,0,26,40,6650,"","All",1028.6,18.97,2013,"China",7415590,1200,15,11,0.32,7590,2013
"Chiayi","Taiwan","Chiayi","Asia","Chiayi BRT",29.65,2000,"None",0,0,NA,NA,NA,NA,"","None",1647,NA,2008,"Taiwan",270872,4512,NA,NA,NA,20925,2008
"Chicago","United States","Chicago","Northern America","Jeffery Jump",25.4,12500,"None",0,0,3.2,25.4,12,NA,"","None",805,NA,2012,"United States",2714856,433.1,17,63,2.25,54630,2012
"Chihuahua","Mexico","Chihuahua","Latin America","ViveBús",22.4,50000,"None",0,0,20.4,NA,NA,NA,"","All",622.2,NA,2013,"Mexico",819543,47.1,14.4,63.4,0.36,10326,2013
"Chongqing","China","Chongqing","Asia","Chongqing BRT",11.5,12000,"",NA,NA,NA,31,6,NA,"",NA,NA,NA,2008,"China",17791000,601.3,NA,NA,NA,7590,2008
"Cleveland","United States","Cleveland","Northern America","HealthLine",11.4,15800,"None",0,0,7.2,17.7,10,NA,"","All",317,17.544,2009,"United States",396815,8920.2,2,89,2.25,54630,2009
"Córdoba","Argentina","Córdoba","Latin America","Sabattini",5.3,58000,"None",0,0,5.3,NA,NA,NA,"","None",588.9,NA,2014,"Argentina",1329604,20,40.3,29.8,0.75,12510,2014
"Crawley","United Kingdom","Crawley","Europe","",24,6000,"",NA,NA,NA,20,6,NA,"",NA,NA,2,2003,"United Kingdom",107053,2380,NA,NA,3.54,46332,2003
"Criciúma","Brazil","Criciúma","Latin America","Av. Centenário",8,10470,"None",0,0,8,40,21,NA,"No","None",500,NA,1996,"Brazil",206918,176.8,46.3,44.1,0.91,11384,1996
"Curitiba","Brazil","Curitiba","Latin America","Oeste",9.2,49000,"None",0,0,9.2,18.3,10,3500,"Yes","All",511.1,NA,1980,"Brazil",1879355,179.6,46,26,0.86,11384,1974
"Curitiba","Brazil","Curitiba","Latin America","Norte",8.8,84000,"None",0,0,8.8,18.3,24,5500,"Yes","All",628.6,NA,1974,"Brazil",1879355,179.6,46,26,0.86,11384,1974
"Curitiba","Brazil","Curitiba","Latin America","Sul",18.6,162500,"None",0,0,18.6,18.3,67,12500,"Yes","All",688.9,NA,1974,"Brazil",1879355,179.6,46,26,0.86,11384,1974
"Curitiba","Brazil","Curitiba","Latin America","Boqueirão",18,89000,"None",0,0,18,18.3,37,7471,"Yes","All",666.7,NA,1977,"Brazil",1879355,179.6,46,26,0.86,11384,1974
"Curitiba","Brazil","Curitiba","Latin America","Leste",13.2,92500,"None",0,0,13.2,18.3,45,10000,"Yes","All",694.7,NA,1980,"Brazil",1879355,179.6,46,26,0.86,11384,1974
"Curitiba","Brazil","Curitiba","Latin America","Rua XV de Novembro",2.5,53000,"None",0,0,2.5,NA,NA,NA,"","None",250,NA,2014,"Brazil",1879355,179.6,46,26,0.86,11384,1974
"Curitiba","Brazil","Curitiba","Latin America","Linha Verde",13.6,31000,"None",0,0,13.6,25,16,3000,"Yes","All",1700,NA,2009,"Brazil",1879355,179.6,46,26,0.86,11384,1974
"Dalian","China","Dalian","Asia","Dalian BRT",13.7,87000,"",0,0,9,24,75,6430,"","All",1250,2.6,2008,"China",2992000,1165.5,NA,NA,0.16,7590,2008
"Douai","France","Douai","Europe","",34,1800,"",NA,NA,NA,24.7,NA,NA,"",NA,NA,4.647,2006,"France",42197,799.7,NA,NA,1.55,42733,2006
"Dublin","Ireland","Dublin","Europe","",8.4,34000,"",NA,NA,NA,NA,NA,6400,"",NA,NA,NA,1997,"Ireland",525383,258.8,21.2,58,NA,53374,1997
"Ecatepec","Mexico","Ecatepec","Latin America","Linea I: Ciudad Azteca - Ojo de Agua",16.5,140000,"None",0,0,16.5,25,20,9000,"No","All",750,NA,2010,"Mexico",2020686,2450.7,78.3,20.7,0.48,10326,2010
"Edinburgh","United Kingdom","Edinburgh","Europe","",5,44000,"",NA,NA,NA,NA,15,NA,"",NA,NA,16.1,2004,"United Kingdom",477940,485.7,19,45,NA,46332,2004
"Eindhoven","Netherlands","Eindhoven","Europe","Phileas",15,12000,"",NA,NA,NA,21,NA,NA,"",NA,NA,NA,2003,"Netherlands",219456,514.3,7,56,NA,52172,2003
"Enschede","Netherlands","Enschede","Europe","Line 2",11,1318,"None",NA,NA,NA,20.5,NA,NA,"","None",600,NA,2000,"Netherlands",157962,NA,4,55,1.11,52172,2000
"Enschede","Netherlands","Enschede","Europe","Line3",12,1250,"None",12,NA,NA,27,NA,NA,"","None",600,NA,2006,"Netherlands",157962,NA,4,55,1.11,52172,2000
"Essen","Germany","Essen","Europe","The Spurbus",24.2,17000,"Partial",4,0,0,16.5,6,NA,"N/A","None",NA,NA,1980,"Germany",566201,1166.3,17,54,1.77,47822,1980
"Eugene","United States","Eugene","Northern America","Green Line",6.4,10000,"None",0,0,3.84,16.9,6,500,"","All",640,3.9,2007,"United States",156185,28.8,4,9,1.75,54630,2007
"Eugene","United States","Eugene","Northern America","Gateway Line",12.48,NA,"None",0,0,8.32,24,6,NA,"","All",891,3.28,2011,"United States",156185,28.8,4,9,1.75,54630,2007
"Everett","United States","Everett","Northern America","",26.9,4200,"None",0,0,16,NA,5,NA,"","All",1921.4,1.059,2009,"United States",235682,180.2,11,86,2.25,54630,2009
"Evry","France","Evry","Europe","Tice",18,NA,"None",0,0,18,21,NA,NA,"","None",580.6,NA,1975,"France",52802,2689.5,NA,NA,1.99,42733,1975
"Fareham - Gosport","United Kingdom","Fareham - Gosport","Europe","Eclipse",3.4,NA,"Partial",0,0,3.4,NA,12,NA,"N/A","None",486,NA,2012,"United Kingdom",194203,1945,5,70,NA,46332,2012
"Feira de Santana","Brazil","Feira de Santana","Latin America","Av. Senhor dos Passos",1.2,NA,"None",0,0,1.2,NA,NA,NA,"No","None",300,NA,2005,"Brazil",617528,408.5,37.5,32.4,0.7,11384,2005
"Fortaleza","Brazil","Fortaleza","Latin America","Av. Bezerra de Menezes",5.8,186777,"None",0,0,5.8,23,256,NA,"No","None",276.2,NA,2012,"Brazil",2591188,625.3,37.5,32.4,0.62,11384,1980
"Fortaleza","Brazil","Fortaleza","Latin America","Av. João Pessoa",2.7,1e+05,"None",0,2.7,0,NA,NA,10000,"No","None",337.5,NA,1980,"Brazil",2591188,625.3,37.5,32.4,0.62,11384,1980
"Gatineau","Canada","Gatineau","Northern America","Rapibus",12,NA,"None",0,0,12,NA,24,3500,"","All",1200,NA,2013,"Canada",265350,196.6,14.3,74,2.74,50235,2013
"Goiânia","Brazil","Goiânia","Latin America","Universitário",2.5,50000,"None",0,0,2.5,21.6,59,NA,"No","None",357.1,NA,2013,"Brazil",1430697,410,30,44,0.86,11384,1976
"Goiânia","Brazil","Goiânia","Latin America","Leste Oeste (Eixo Anhanguera)",13.5,240000,"None",0,0,13.5,17,60,20000,"Yes","All",710.5,NA,1976,"Brazil",1430697,410,30,44,0.86,11384,1976
