"city","country","country_ITDP","city_ITDP","year","system","corridor","corridor_length","a","a1","a2","a3","a4","a5","b","b1","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","score","g","g1","g2","g3","g4","g5","g6","g7","g8","total_score","classification","gdp","continent","pop_density","corridors_city_length","population","bus_split","net_score","id","x_a","x_b","x_c","x_d","x_e","x_f","x_g","productivity","demand","system_length","speed","year_system_commenced","peak_frequency","peak_load_pax"
"Changde","China","China","Changde",2014,"Changde BRT","Changde Dadao",18.9,71.1,100,100,50,0,100,57.9,100,0,100,100,0,100,0,21.4,0,33.3,0,0,100,80,0,100,100,100,100,100,100,100,28.6,0,100,0,0,50,0,58,-11.1,0,-100,0,0,0,0,0,0,53,"Basic",7590,"Asia",558.2,18.9,1401000,NA,53,6,71.1,57.9,21.4,80,100,28.6,-11.1,NA,NA,18.9,31,2012,27,800
"Changzhou","China","China","Changzhou",2013,"Changzhou BRT","Entire Network",51.9,81.8,100,100,100,0,100,87.5,100,0,100,100,100,100,100,28.6,0,33.3,33.3,0,100,90,100,66.7,100,100,100,100,100,100,14.3,0,0,33.3,0,50,0,68,0,0,0,0,0,0,100,100,0,68,"Bronze",7590,"Asia",1237.8,49.9,2305000,NA,68,63,81.8,87.5,28.6,90,100,14.3,0,7014,350000,49.9,18,2008,77,NA
"Chengdu","China","China","Chengdu",2014,"Chengdu BRT","Erhuan Lu",28.8,100,100,100,100,100,100,57.9,100,0,100,100,0,100,0,50,0,33.3,100,50,100,50,0,100,0,100,100,100,100,100,42.9,0,100,66.7,0,50,0,72,0,0,0,0,0,0,0,0,0,72,"Silver",7590,"Asia",1200,28.8,7415590,15,72,7,100,57.9,50,50,100,42.9,0,NA,NA,28.8,26,2013,40,6650
"Cleveland","United States","USA","Cleveland, OH",2013,"(no BRT system name)","Healthline",15,87.9,100,100,85.7,50,100,66.7,100,0,100,100,100,100,50,57.1,50,66.7,33.3,50,100,90,100,100,100,100,0,100,100,100,64.3,100,33.3,100,50,50,0,76,0,0,0,0,0,0,33.3,0,0,76,"Silver",54630,"Northern America",8920.2,11.4,396815,2,76,64,87.9,66.7,57.1,90,100,64.3,0,1386,15800,11.4,17.7,2009,10,NA
"Curitiba","Brazil","Brazil","Curitiba",2013,"Rede Integrada de Transporte (RIT)","(All RIT corridors)",74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,35.7,0,33.3,100,0,50,80,100,66.7,100,0,100,80,100,50,57.1,66.7,100,66.7,0,50,0,82,0,0,0,0,0,0,100,100,0,82,"Silver",11384,"Latin America",179.6,83.9,1879355,46,82,66,100,100,41.39,82.28,80,57.92,0,6686.5,561000,83.9,NA,1974,67,12500
"Curitiba","Brazil","Brazil","Curitiba",2013,"Rede Integrada de Transporte (RIT)","Green Line",9.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.7,100,66.7,100,50,100,100,100,100,100,100,100,80,100,50,64.3,66.7,100,100,0,50,0,92,0,0,0,0,0,0,100,100,0,92,"Gold",11384,"Latin America",179.6,83.9,1879355,46,92,65,100,100,41.39,82.28,80,57.92,0,6686.5,561000,83.9,NA,1974,67,12500
"Dalian","China","China","Dalian",2014,"Dalian BRT","Zhangqian Lu - Songjiang Lu - Huabei Lu - Xi'an Lu",9,71.1,62.5,87.5,100,0,100,42.1,100,0,0,100,0,100,0,42.9,0,0,100,50,100,40,0,33.3,100,0,0,40,33.3,50,28.6,0,66.7,66.7,0,0,0,51,0,0,0,0,0,0,0,0,0,51,"Basic",7590,"Asia",1165.5,13.7,2992000,NA,51,8,71.1,42.1,42.9,40,40,28.6,0,6350.4,87000,13.7,24,2008,75,6430
"Delhi","India","India","Delhi",2013,"Delhi BRTS","Moolchand-Ambedkar Nagar",5.8,54.5,100,100,0,0,66.7,58.3,100,0,33.3,100,100,50,100,0,0,0,0,0,0,50,100,0,66.7,100,0,20,0,50,28.6,33.3,0,66.7,0,50,0,42,-33.3,0,0,-60,-100,-100,33.3,0,-12.5,30,"Basic",1582,"Asia",NA,NA,NA,NA,30,67,54.5,58.3,0,50,20,28.6,-33.3,NA,NA,NA,NA,NA,NA,NA
"Eugene","United States","USA","Eugene, OR",2013,"Emerald Express (EmX)","Green Line",12.5,60.6,57.1,57.1,85.7,0,100,45.8,0,0,100,100,100,50,0,35.7,0,66.7,33.3,0,100,70,100,66.7,100,0,0,100,100,100,71.4,100,100,66.7,50,50,0,58,-8.3,-30,0,0,0,0,0,100,0,55,"Bronze",54630,"Northern America",28.8,18.9,156185,4,55,68,60.6,45.8,35.7,70,100,71.4,-8.3,529.7,10000,18.88,24,2007,6,500
"Guadalajara","Mexico","Mexico","Guadalajara",2013,"Macrobus","(only 1 line)",16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,200,100,80,100,50,50,66.7,66.7,100,0,0,0,93,0,0,0,0,0,0,100,100,0,93,"Gold",10326,"Latin America",1967.5,16,1494134,28,93,69,100,100,100,110,80,50,0,7937.5,127000,16,28,2009,12,9000
